style,diag_value,row_max_value,row_argmax_topology,n_cells_at_max,diag_is_strict_winner,diag_tied_with_max
sas,0.2222222222222222,0.3333333333333333,independent,2,False,False
independent,0.2222222222222222,0.2222222222222222,independent,2,False,True
centralized,0.0,0.3333333333333333,sas,1,False,False
decentralized,0.1111111111111111,0.4444444444444444,centralized,1,False,False
hybrid,0.2222222222222222,0.3333333333333333,centralized,2,False,False
