source,SS,pct_total
Style (prompt structure),3.0814879110195774e-33,6.240013019814644e-30
Topology,0.006172839506172839,12.5
Interaction (alignment),0.043209876543209874,87.5
Total (between cells),0.04938271604938271,100.0
