source,SS,pct_total
Style (prompt structure),0.08197530864197533,35.62231759656653
Topology,0.07209876543209878,31.330472103004304
Interaction (alignment),0.07604938271604937,33.04721030042918
Total (between cells),0.23012345679012344,100.0
