style_id,sas,independent,centralized,decentralized,hybrid
sas,0.2222222222222222,0.2777777777777778,0.2777777777777778,0.28888888888888886,0.4
independent,0.25555555555555554,0.28888888888888886,0.28888888888888886,0.26666666666666666,0.3888888888888889
centralized,0.24444444444444444,0.28888888888888886,0.36666666666666664,0.28888888888888886,0.45555555555555555
decentralized,0.2222222222222222,0.25555555555555554,0.3,0.35555555555555557,0.4444444444444444
hybrid,0.2222222222222222,0.24444444444444444,0.32222222222222224,0.24444444444444444,0.4222222222222222
