pair,aligned,off_diag_mean,diff
sas,0.2222222222222222,0.3111111111111111,-0.0888888888888889
independent,0.28888888888888886,0.3,-0.011111111111111127
centralized,0.36666666666666664,0.3194444444444444,0.04722222222222222
decentralized,0.35555555555555557,0.3055555555555555,0.050000000000000044
hybrid,0.4222222222222222,0.25833333333333336,0.16388888888888886
