topology,passed,hard_constraint_fail,commonsense_fail,no_plan
sas,23.333333333333332,22.444444444444443,53.77777777777778,0.4444444444444444
independent,27.111111111111114,25.555555555555554,47.333333333333336,0.0
centralized,31.11111111111111,20.666666666666668,46.22222222222222,2.0
decentralized,28.888888888888886,25.77777777777778,45.33333333333333,0.0
hybrid,42.22222222222222,14.222222222222221,42.66666666666667,0.8888888888888888
