topology,valid_cost,valid_cuisine,valid_room_rule,valid_room_type,valid_transportation
sas,0.6666666666666666,0.9712230215827338,0.8441247002398081,0.9664268585131894,1.0
independent,0.6882217090069284,0.9699769053117783,0.8221709006928406,0.9699769053117783,1.0
centralized,0.7250608272506083,0.9708029197080292,0.9051094890510949,0.9732360097323601,1.0
decentralized,0.6898148148148148,0.9606481481481481,0.8333333333333334,0.9652777777777778,1.0
hybrid,0.8149100257069408,0.987146529562982,0.9357326478149101,0.974293059125964,1.0
